id,vessel_id,t,lon,lat,heading,course,speed
1,V001,2019-08-14 00:00:00,24.9,35.3,90,0.0,0.0
2,V002,2019-08-14 01:00:00,25.1,35.5,180,15.5,5.5
3,V003,2019-08-14 02:00:00,24.7,35.4,270,30.2,31.0
4,V004,2019-08-14 03:00:00,25.3,35.2,360,45.0,12.0
5,V005,2019-08-14 04:00:00,24.8,35.6,45,12.3,
6,V001,2019-08-14 05:00:00,24.9,35.3,90,0.0,0.0
7,V002,2019-08-14 06:00:00,25.1,35.5,180,15.5,5.5
8,V003,2019-08-14 07:00:00,24.7,35.4,270,30.2,31.0
9,V004,2019-08-14 08:00:00,25.3,35.2,360,45.0,12.0
10,V005,2019-08-14 09:00:00,24.8,35.6,45,12.3,
11,V001,2019-08-14 10:00:00,24.9,35.3,90,0.0,0.0
12,V002,2019-08-14 11:00:00,25.1,35.5,180,15.5,5.5
13,V003,2019-08-14 12:00:00,24.7,35.4,270,30.2,31.0
14,V004,2019-08-14 13:00:00,25.3,35.2,360,45.0,12.0
15,V005,2019-08-14 14:00:00,24.8,35.6,45,12.3,
